36	7412.4	7426.25	7438.47	7436.99	7460.02	7468.76	7514.62	7508.46	7605.48	3613.37	7692.64	7777.16	7667.9	7674.83	7663	7572.55	7619.43	7644.74	7599.72	7616.13	7591.19	
37	7429.7	7443.45	7455.5	7453.77	7476.4	7485.4	7530.65	7524.17	7620.57	3627.76	7706.95	7791.18	7680.9	7687.86	7676.36	7587.11	7633.51	7658.6	7612.03	7628.63	7603.21	
38	7446.76	7460.42	7472.33	7470.39	7492.66	7501.88	7546.59	7539.82	7635.65	3642.2	7721.31	7805.26	7693.98	7701	7689.83	7601.73	7647.67	7672.56	7624.52	7641.3	7615.43	
39	7463.62	7477.19	7488.97	7486.84	7508.8	7518.2	7562.43	7555.43	7650.72	3656.69	7735.71	7819.4	7707.15	7714.25	7703.4	7616.41	7661.91	7686.59	7637.17	7654.12	7627.84	
40	7480.29	7493.78	7505.44	7503.16	7524.84	7534.39	7578.19	7570.98	7665.78	3671.22	7750.17	7833.6	7720.41	7727.61	7717.06	7631.12	7676.21	7700.7	7649.98	7667.08	7640.42	
41	7496.79	7510.22	7521.76	7519.34	7540.78	7550.47	7593.87	7586.48	7680.83	3685.79	7764.65	7847.85	7733.77	7741.08	7730.81	7645.86	7690.56	7714.87	7662.93	7680.17	7653.16	
42	7513.15	7526.5	7537.95	7535.41	7556.64	7566.43	7609.49	7601.93	7695.87	3700.39	7779.17	7862.15	7747.22	7754.64	7744.65	7660.63	7704.97	7729.1	7676.01	7693.38	7666.05	
43	7529.37	7542.67	7554.02	7551.38	7572.41	7582.3	7625.04	7617.34	7710.9	3715.02	7793.72	7876.49	7760.77	7768.29	7758.56	7675.42	7719.41	7743.38	7689.22	7706.72	7679.08	
44	7545.47	7558.71	7569.99	7567.25	7588.1	7598.08	7640.53	7632.7	7725.92	3729.69	7808.3	7890.87	7774.4	7782.02	7772.54	7690.22	7733.9	7757.71	7702.54	7720.16	7692.23	
45	7561.46	7574.65	7585.86	7583.03	7603.73	7613.78	7655.97	7648.03	7740.92	3744.39	7822.9	7905.29	7788.11	7795.84	7786.58	7705.03	7748.42	7772.08	7715.97	7733.7	7705.51	
46	7577.36	7590.5	7601.64	7598.73	7619.29	7629.41	7671.36	7663.32	7755.91	3759.1	7837.52	7919.74	7801.91	7809.73	7800.69	7719.85	7762.96	7786.49	7729.5	7747.33	7718.9	
47	7593.16	7606.26	7617.34	7614.37	7634.79	7644.97	7686.7	7678.57	7770.9	3773.85	7852.16	7934.22	7815.77	7823.69	7814.85	7734.67	7777.53	7800.94	7743.13	7761.06	7732.39	
48	7608.88	7621.94	7632.96	7629.93	7650.24	7660.47	7702.01	7693.79	7785.87	3788.61	7866.81	7948.73	7829.71	7837.71	7829.06	7749.5	7792.13	7815.41	7756.84	7774.86	7745.98	
49	7624.53	7637.55	7648.52	7645.43	7665.64	7675.92	7717.27	7708.98	7800.83	3803.39	7881.48	7963.27	7843.72	7851.79	7843.32	7764.33	7806.75	7829.92	7770.64	7788.74	7759.66	
50	7640.11	7653.1	7664.02	7660.88	7681	7691.31	7732.5	7724.14	7815.78	3818.19	7896.16	7977.82	7857.78	7865.93	7857.62	7779.17	7821.38	7844.45	7784.51	7802.7	7773.42	
51	7655.63	7668.58	7679.47	7676.28	7696.31	7706.66	7747.7	7739.28	7830.72	3833	7910.86	7992.4	7871.9	7880.13	7871.96	7794	7836.03	7859.01	7798.46	7816.71	7787.27	
52	7671.09	7684.02	7694.86	7691.63	7711.58	7721.97	7762.87	7754.39	7845.66	3847.83	7925.56	8007	7886.08	7894.37	7886.34	7808.84	7850.7	7873.58	7812.47	7830.79	7801.18	
53	7686.5	7699.4	7710.21	7706.94	7726.82	7737.24	7778.01	7769.48	7860.58	3862.67	7940.27	8021.61	7900.3	7908.65	7900.75	7823.68	7865.37	7888.18	7826.54	7844.92	7815.17	
54	7701.86	7714.74	7725.52	7722.22	7742.02	7752.47	7793.13	7784.55	7875.5	3877.52	7955	8036.24	7914.57	7922.98	7915.2	7838.51	7880.07	7902.79	7840.67	7859.11	7829.21	
55	7717.18	7730.04	7740.79	7737.45	7757.19	7767.67	7808.22	7799.6	7890.41	3892.38	7969.73	8050.89	7928.88	7937.34	7929.67	7853.35	7894.77	7917.42	7854.85	7873.34	7843.32	
56	7732.46	7745.3	7756.02	7752.65	7772.34	7782.84	7823.29	7814.63	7905.31	3907.25	7984.47	8065.55	7943.23	7951.74	7944.17	7868.19	7909.48	7932.07	7869.08	7887.62	7857.48	
57	7747.71	7760.52	7771.22	7767.83	7787.46	7797.98	7838.34	7829.65	7920.21	3922.14	7999.21	8080.22	7957.62	7966.17	7958.7	7883.02	7924.2	7946.73	7883.35	7901.94	7871.69	
58	7762.92	7775.72	7786.39	7782.97	7802.56	7813.1	7853.37	7844.65	7935.1	3937.02	8013.96	8094.9	7972.04	7980.63	7973.24	7897.86	7938.93	7961.4	7897.67	7916.3	7885.94	
59	7778.1	7790.88	7801.53	7798.09	7817.64	7828.19	7868.39	7859.64	7949.99	3951.92	8028.71	8109.59	7986.48	7995.11	7987.81	7912.69	7953.66	7976.08	7912.02	7930.7	7900.24	
60	7793.25	7806.02	7816.65	7813.19	7832.69	7843.26	7883.39	7874.61	7964.87	3966.82	8043.47	8124.29	8000.96	8009.63	8002.4	7927.52	7968.41	7990.78	7926.41	7945.12	7914.58	
61	7808.37	7821.13	7831.74	7828.26	7847.73	7858.32	7898.38	7889.57	7979.74	3981.73	8058.24	8139	8015.47	8024.16	8017.01	7942.36	7983.16	8005.48	7940.83	7959.58	7928.96	
62	7823.47	7836.22	7846.82	7843.32	7862.75	7873.35	7913.35	7904.52	7994.61	3996.65	8073.01	8153.72	8029.99	8038.72	8031.63	7957.19	7997.91	8020.2	7955.29	7974.06	7943.37	
63	7838.55	7851.29	7861.87	7858.35	7877.76	7888.37	7928.31	7919.46	8009.48	4011.57	8087.78	8168.44	8044.54	8053.3	8046.27	7972.02	8012.67	8034.92	7969.77	7988.58	7957.81	
64	7853.61	7866.34	7876.9	7873.37	7892.75	7903.37	7943.27	7934.39	8024.34	4026.49	8102.56	8183.18	8059.12	8067.89	8060.92	7986.85	8027.43	8049.65	7984.27	8003.11	7972.28	
65	7868.66	7881.37	7891.92	7888.38	7907.73	7918.36	7958.21	7949.32	8039.2	4041.42	8117.33	8197.91	8073.7	8082.51	8075.58	8001.68	8042.2	8064.38	7998.81	8017.67	7986.78	
66	7883.68	7896.38	7906.93	7903.37	7922.69	7933.34	7973.14	7964.23	8054.06	4056.36	8132.11	8212.66	8088.31	8097.14	8090.26	8016.51	8056.97	8079.12	8013.36	8032.24	8001.3	
67	7898.69	7911.38	7921.91	7918.34	7937.65	7948.3	7988.06	7979.14	8068.91	4071.29	8146.9	8227.41	8102.94	8111.78	8104.94	8031.34	8071.75	8093.87	8027.93	8046.84	8015.85	
68	7913.68	7926.37	7936.89	7933.31	7952.59	7963.25	8002.97	7994.04	8083.76	4086.23	8161.69	8242.16	8117.57	8126.44	8119.64	8046.17	8086.53	8108.62	8042.53	8061.45	8030.41	
