k 	 X         	Y      	 dx    	dy   	domain     	well 	  struc  	depth    	phi     	 kx      	 ky     	 Ax     	 Ay     	G    	 P    	WellBCs    	 rw
108	1116.92	1802.31	507.692	660	1	0	1425	3	0.12	0.09016	0.049588	1980	1523.08	1426.5	0	0	0
109	1624.62	1802.31	507.692	660	1	0	1420	3	0.12	0.09016	0.049588	1980	1523.08	1421.5	0	0	0
110	2132.31	1802.31	507.692	660	1	0	1420	4	0.12	0.1127	0.061985	2640	2030.77	1422	0	0	0
111	2538.46	1802.31	304.615	660	1	0	1410	5	0.12	0.1127	0.061985	3300	1523.08	1412.5	0	0	0
112	2817.69	1802.31	253.846	660	1	0	1410	5	0.12	0.1127	0.061985	3300	1269.23	1412.5	0	0	0
113	3223.85	1802.31	558.462	660	1	11	1410	5	0.12	0.1127	0.061985	3300	2792.31	1412.5	0	1350	0.25
114	3630	1802.31	253.846	660	1	0	1410	5	0.12	0.1127	0.061985	3300	1269.23	1412.5	0	0	0
115	3909.23	1802.31	304.615	660	1	0	1415	5	0.12	0.118335	0.0650842	3300	1523.08	1417.5	0	0	0
116	4264.62	1802.31	406.154	660	1	0	1390	8	0.2	0.118335	0.0650842	5280	3249.23	1394	0	0	0
117	4772.31	1802.31	609.231	660	1	0	1390	8	0.18	0.118335	0.0650842	5280	4873.85	1394	0	0	0
118	5330.77	1802.31	507.692	660	1	0	1390	10	0.2	0.118335	0.0650842	6600	5076.92	1395	0	0	0
119	5838.46	1802.31	507.692	660	1	0	1420	15	0.17	0.118335	0.0650842	9900	7615.38	1427.5	0	0	0
120	6270	1802.31	355.385	660	1	0	1410	15	0.2	0.118335	0.0650842	9900	5330.77	1417.5	0	0	0
121	6752.31	1802.31	609.231	660	1	0	1410	15	0.2	0.118335	0.0650842	9900	9138.46	1417.5	0	0	0
122	7323.46	1802.31	533.077	660	1	0	1410	15	0.17	0.118335	0.0650842	9900	7996.15	1417.5	0	0	0
123	7920	1802.31	660	660	1	0	1410	15	0.25	0.118335	0.0650842	9900	9900	1417.5	0	0	0
124	8580	1802.31	660	660	1	0	1400	15	0.23	0.118335	0.0650842	9900	9900	1407.5	0	0	0
125	9062.31	1802.31	304.615	660	1	11	1410	10	0.2	0.1127	0.061985	6600	3046.15	1415	0	1100	0.25
126	9392.31	1802.31	355.385	660	1	0	1410	8	0.23	0.1127	0.061985	5280	2843.08	1414	0	0	0
127	9798.46	1802.31	456.923	660	1	0	1420	5	0.23	0.09016	0.049588	3300	2284.62	1422.5	0	0	0
128	10230	1802.31	406.154	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
129	10585.4	1802.31	304.615	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
130	10940.8	1802.31	406.154	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
131	11346.9	1802.31	406.154	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
132	11753.1	1802.31	406.154	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
133	12159.2	1802.31	406.154	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
134	12565.4	1802.31	406.154	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
135	12920.8	1802.31	304.615	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
136	13200	1802.31	253.846	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
137	13453.8	1802.31	253.846	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
138	13834.6	1802.31	507.692	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
139	14266.2	1802.31	355.385	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
140	14596.2	1802.31	304.615	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
141	203.077	2462.31	406.154	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
142	634.615	2462.31	456.923	660	1	0	1420	4	0.1	0.095795	0.0526872	2640	1827.69	1422	0	0	0
143	1116.92	2462.31	507.692	660	1	0	1410	6	0.12	0.1127	0.061985	3960	3046.15	1413	0	0	0
144	1624.62	2462.31	507.692	660	1	0	1410	8	0.12	0.1127	0.061985	5280	4061.54	1414	0	0	0
145	2132.31	2462.31	507.692	660	1	0	1400	8	0.12	1.2397	0.681835	5280	4061.54	1404	0	0	0
146	2538.46	2462.31	304.615	660	1	0	1400	8	0.12	0.129605	0.0712828	5280	2436.92	1404	0	0	0
147	2817.69	2462.31	253.846	660	1	0	1400	8	0.12	0.129605	0.0712828	5280	2030.77	1404	0	0	0
148	3223.85	2462.31	558.462	660	1	0	1395	10	0.12	0.1127	0.061985	6600	5584.62	1400	0	0	0
149	3630	2462.31	253.846	660	1	0	1390	10	0.12	0.1127	0.061985	6600	2538.46	1395	0	0	0
150	3909.23	2462.31	304.615	660	1	0	1390	10	0.12	0.1127	0.061985	6600	3046.15	1395	0	0	0
151	4264.62	2462.31	406.154	660	1	0	1390	14	0.2	0.1127	0.061985	9240	5686.15	1397	0	0	0
152	4772.31	2462.31	609.231	660	1	11	1390	15	0.22	0.14651	0.0805805	9900	9138.46	1397.5	0	1350	0.25
153	5330.77	2462.31	507.692	660	1	0	1390	15	0.2	0.152145	0.0836797	9900	7615.38	1397.5	0	0	0
154	5838.46	2462.31	507.692	660	1	0	1395	15	0.15	0.14651	0.0805805	9900	7615.38	1402.5	0	0	0
155	6270	2462.31	355.385	660	1	0	1395	15	0.15	0.14651	0.0805805	9900	5330.77	1402.5	0	0	0
156	6752.31	2462.31	609.231	660	1	0	1395	15	0.2	0.14651	0.0805805	9900	9138.46	1402.5	0	0	0
157	7323.46	2462.31	533.077	660	1	0	1395	15	0.17	0.14651	0.0805805	9900	7996.15	1402.5	0	0	0
158	7920	2462.31	660	660	1	0	1395	15	0.25	0.14651	0.0805805	9900	9900	1402.5	0	0	0
159	8580	2462.31	660	660	1	0	1395	15	0.22	0.14651	0.0805805	9900	9900	1402.5	0	0	0
160	9062.31	2462.31	304.615	660	1	0	1405	15	0.2	0.14651	0.0805805	9900	4569.23	1412.5	0	0	0
161	9392.31	2462.31	355.385	660	1	11	1405	13	0.23	0.14651	0.0805805	8580	4620	1411.5	0	1000	0.25
162	9798.46	2462.31	456.923	660	1	0	1405	10	0.23	0.14651	0.0805805	6600	4569.23	1410	0	0	0
163	10230	2462.31	406.154	660	1	0	1415	5	0.2	0.1127	0.061985	3300	2030.77	1417.5	0	0	0
164	10585.4	2462.31	304.615	660	1	0	1420	5	0.23	0.1127	0.061985	3300	1523.08	1422.5	0	0	0
165	10940.8	2462.31	406.154	660	1	0	1425	5	0.2	0.1127	0.061985	3300	2030.77	1427.5	0	0	0
166	11346.9	2462.31	406.154	660	1	0	1425	5	0.18	0.1127	0.061985	3300	2030.77	1427.5	0	0	0
167	11753.1	2462.31	406.154	660	1	0	1425	5	0.2	0.1127	0.061985	3300	2030.77	1427.5	0	0	0
168	12159.2	2462.31	406.154	660	1	0	1425	5	0.23	0.1127	0.061985	3300	2030.77	1427.5	0	0	0
169	12565.4	2462.31	406.154	660	1	0	1425	5	0.23	0.09016	0.049588	3300	2030.77	1427.5	0	0	0
170	12920.8	2462.31	304.615	660	1	0	1420	5	0.23	0.07889	0.0433895	3300	1523.08	1422.5	0	0	0
171	13200	2462.31	253.846	660	1	0	1420	5	0.23	0.06762	0.037191	3300	1269.23	1422.5	0	0	0
172	13453.8	2462.31	253.846	660	1	0	1430	5	0.23	0.02254	0.012397	3300	1269.23	1432.5	0	0	0
173	13834.6	2462.31	507.692	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
174	14266.2	2462.31	355.385	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
175	14596.2	2462.31	304.615	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
176	203.077	2970	406.154	355.385	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
177	634.615	2970	456.923	355.385	1	0	1420	5	0.18	0.129605	0.0712828	1776.92	2284.62	1422.5	0	0	0
178	1116.92	2970	507.692	355.385	1	0	1410	8	0.18	0.1127	0.061985	2843.08	4061.54	1414	0	0	0
179	1624.62	2970	507.692	355.385	1	0	1400	10	0.2	0.107065	0.0588858	3553.85	5076.92	1405	0	0	0
180	2132.31	2970	507.692	355.385	1	0	1395	12	0.2	0.107065	0.0588858	4264.62	6092.31	1401	0	0	0
181	2538.46	2970	304.615	355.385	1	0	1395	13	0.2	0.107065	0.0588858	4620	3960	1401.5	0	0	0
182	2817.69	2970	253.846	355.385	1	11	1395	14	0.2	0.107065	0.0588858	4975.38	3553.85	1402	0	1350	0.25
183	3223.85	2970	558.462	355.385	1	0	1390	15	0.2	0.1127	0.061985	5330.77	8376.92	1397.5	0	0	0
184	3630	2970	253.846	355.385	1	0	1390	15	0.2	0.129605	0.0712828	5330.77	3807.69	1397.5	0	0	0
185	3909.23	2970	304.615	355.385	1	0	1390	15	0.2	0.118335	0.0650842	5330.77	4569.23	1397.5	0	0	0
186	4264.62	2970	406.154	355.385	1	0	1390	15	0.11	0.1127	0.061985	5330.77	6092.31	1397.5	0	0	0
187	4772.31	2970	609.231	355.385	1	0	1390	15	0.23	0.12397	0.0681835	5330.77	9138.46	1397.5	0	0	0
188	5330.77	2970	507.692	355.385	1	0	1390	15	0.2	0.13524	0.074382	5330.77	7615.38	1397.5	0	0	0
189	5838.46	2970	507.692	355.385	1	0	1390	15	0.15	0.14651	0.0805805	5330.77	7615.38	1397.5	0	0	0
190	6270	2970	355.385	355.385	1	0	1390	15	0.15	0.152145	0.0836797	5330.77	5330.77	1397.5	0	0	0
191	6752.31	2970	609.231	355.385	1	0	1390	15	0.2	0.152145	0.0836797	5330.77	9138.46	1397.5	0	0	0
192	7323.46	2970	533.077	355.385	1	0	1390	15	0.18	0.15778	0.086779	5330.77	7996.15	1397.5	0	0	0
193	7920	2970	660	355.385	1	0	1390	15	0.17	0.15778	0.086779	5330.77	9900	1397.5	0	0	0
194	8580	2970	660	355.385	1	0	1395	15	0.24	0.15778	0.086779	5330.77	9900	1402.5	0	0	0
195	9062.31	2970	304.615	355.385	1	0	1405	15	0.23	0.15778	0.086779	5330.77	4569.23	1412.5	0	0	0
196	9392.31	2970	355.385	355.385	1	0	1400	15	0.23	0.15778	0.086779	5330.77	5330.77	1407.5	0	0	0
197	9798.46	2970	456.923	355.385	1	0	1400	10	0.23	0.152145	0.0836797	3553.85	4569.23	1405	0	0	0
198	10230	2970	406.154	355.385	1	0	1400	10	0.23	0.14651	0.0805805	3553.85	4061.54	1405	0	0	0
199	10585.4	2970	304.615	355.385	1	0	1410	12	0.23	0.14651	0.0805805	4264.62	3655.38	1416	0	0	0
200	10940.8	2970	406.154	355.385	1	0	1420	10	0.2	0.14651	0.0805805	3553.85	4061.54	1425	0	0	0
201	11346.9	2970	406.154	355.385	1	0	1420	10	0.2	0.14651	0.0805805	3553.85	4061.54	1425	0	0	0
202	11753.1	2970	406.154	355.385	1	0	1420	10	0.23	0.13524	0.074382	3553.85	4061.54	1425	0	0	0
203	12159.2	2970	406.154	355.385	1	0	1410	10	0.23	0.12397	0.0681835	3553.85	4061.54	1415	0	0	0
204	12565.4	2970	406.154	355.385	1	-11	1410	10	0.23	0.1127	0.061985	3553.85	4061.54	1415	0	1100	0.25
205	12920.8	2970	304.615	355.385	1	0	1410	10	0.23	0.09016	0.049588	3553.85	3046.15	1415	0	0	0
206	13200	2970	253.846	355.385	1	0	1410	9	0.23	0.09016	0.049588	3198.46	2284.62	1414.5	0	0	0
207	13453.8	2970	253.846	355.385	1	0	1410	8	0.23	0.05635	0.0309925	2843.08	2030.77	1414	0	0	0
208	13834.6	2970	507.692	355.385	1	0	1410	5	0.1	0.05635	0.0309925	1776.92	2538.46	1412.5	0	0	0
209	14266.2	2970	355.385	355.385	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
210	14596.2	2970	304.615	355.385	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
211	203.077	3350.77	406.154	406.154	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
212	634.615	3350.77	456.923	406.154	1	11	1420	5	0.15	0.129605	0.0712828	2030.77	2284.62	1422.5	0	1350	0.25
213	1116.92	3350.77	507.692	406.154	1	0	1410	8	0.2	0.1127	0.061985	3249.23	4061.54	1414	0	0	0
214	1624.62	3350.77	507.692	406.154	1	0	1400	10	0.22	0.107065	0.0588858	4061.54	5076.92	1405	0	0	0
215	2132.31	3350.77	507.692	406.154	1	0	1395	12	0.23	0.09016	0.049588	4873.85	6092.31	1401	0	0	0
216	2538.46	3350.77	304.615	406.154	1	0	1395	13	0.25	0.09016	0.049588	5280	3960	1401.5	0	0	0
217	2817.69	3350.77	253.846	406.154	1	0	1395	14	0.25	0.10143	0.0557865	5686.15	3553.85	1402	0	0	0
218	3223.85	3350.77	558.462	406.154	1	0	1390	15	0.23	0.107065	0.0588858	6092.31	8376.92	1397.5	0	0	0
219	3630	3350.77	253.846	406.154	1	0	1390	15	0.23	0.129605	0.0712828	6092.31	3807.69	1397.5	0	0	0
220	3909.23	3350.77	304.615	406.154	1	0	1390	15	0.2	0.118335	0.0650842	6092.31	4569.23	1397.5	0	0	0
221	4264.62	3350.77	406.154	406.154	1	0	1390	15	0.15	0.1127	0.061985	6092.31	6092.31	1397.5	0	0	0
